Dataset,Observations,Unique Pixels,Date Range,Chl-a Mean (mg/m³),Chl-a Range (mg/m³)
Historical Time Series,4851,229,2024-06-09 to 2024-10-07,16.9,0.0 - 1113.7
Future Predictions,1374,229,2024-11-06 to 2025-04-05,35.4,6.6 - 200.0
